,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
211,Crafter's Secret Big Idea Yarn,11.99,8.39,30.0,4.1,84,Yarn,Crafter's Secret Big Idea Yarn,Crafter's Secret
212,Red Metal Tree Collar,69.99,34.99,50.0,5.0,1,Tree Collars,Red Metal Tree Collar,The Christmas Shoppe
213,"Bells, Bows & Pine Wired Edge Ribbon - 4""",13.99,6.99,50.0,0.0,0,Ribbon,"Bells, Bows & Pine Wired Edge Ribbon - 4""",Robert Stanley
214,Red & White Swirl Lollipop Tree Picks,8.99,4.49,50.0,0.0,0,Tree Picks,Red & White Swirl Lollipop Tree Picks,The Christmas Shoppe
215,All-Purpose Light Clips,8.99,6.74,25.0,0.0,0,Hardware & Clips,All-Purpose Light Clips,Hobby Lobby
216,Nativity 3D Stickers,2.99,1.79,40.0,0.0,0,Dimensional Stickers,Nativity 3D Stickers,the Paper Studio
217,Lobster Ornament,7.99,3.99,50.0,0.0,0,Themed & Fashion Ornaments,Lobster Ornament,Robert Stanley
218,White Foam Balls,4.99,2.49,50.0,0.0,0,Craft Supplies,White Foam Balls,Brother Sister Design Studio
219,Snowflake Suncatchers Craft Kit,1.99,0.99,50.0,0.0,0,Craft Kits,Snowflake Suncatchers Craft Kit,Brother Sister Design Studio
220,Glitter Poinsettia Bush,15.99,7.99,50.0,0.0,0,Floral Bushes & Greenery,Glitter Poinsettia Bush,Hobby Lobby
221,Durawise Micro LED Lights,16.99,12.74,25.0,5.0,3,LED Lights,Durawise Micro LED Lights,Hobby Lobby
222,Pinecone & Cardinal Snow Globe,39.99,19.99,50.0,0.0,0,Snow Globes,Pinecone & Cardinal Snow Globe,Hobby Lobby
223,"Red Metallic Deco Mesh Ribbon - 10""",9.99,4.99,50.0,0.0,0,Deco Mesh,"Red Metallic Deco Mesh Ribbon - 10""",Hobby Lobby
224,"Holly & Polka Dot Scrapbook Paper - 8 1/2"" x 11""",0.59,0.35,40.0,0.0,0,Printed Paper Single Sheets,"Holly & Polka Dot Scrapbook Paper - 8 1/2"" x 11""",the Paper Studio
225,Let Your Light Shine Blessings Cards,4.99,4.99,0.0,5.0,2,Inspirational Gifts,Let Your Light Shine Blessings Cards,Christian Art Gifts
