,Name,Sale Price,Rating,Number of Reviews,Category,Sub-Category,Brand
49,"Palmatte 4 Pack Thanksgiving Fall Decorations for Home Porch, Indoor Outdoor Fall Decor Autumn Harvest Garland Leaves 5.8ft Fake Vines Room Decor Fall Wedding Party Decorations Halloween Décor (Red)",19.99,4.3,259.0,Home & Kitchen,Seasonal Décor,Palmatte
50,"Thanksgiving Party Decorations Gold Thanksgiving Foil Balloon Banner, 3 Packs Fall Maple Leaf Garland with Lights, Gold Orange Fringe Curtain, Paper Pompoms，Balloons for Fall Autumn Party Decor",22.99,4.1,12.0,Toys & Games,Featured Categories,Sawowkuya
51,"YJDFWAUT Thanksgiving Party Decorations Supplies, Thanksgiving Banner Hanging Swirls for Autumn Holiday, Turkey Autumn Hanging Decorations, Thanksgiving Foil Fringe Curtain Balloon Garland",27.99,3.0,2.0,Toys & Games,Featured Categories,YJDFWAUT
52,Keketo Cheesecloth Table Runner Terracotta Rust Gauze 120 Inch 10 FT Rustic Cheese Cloth Runner for Wedding Baby Shower Bridal Shower Birthday Party Boho Long Sheer Fall Christmas Home Decorations,12.99,4.8,16.0,Home & Kitchen,Kitchen & Dining,Keketoarrange
53,3 Pack Thanksgiving Day Fall Spray Centerpieces-Balloon Weight Centerpieces Gold Orange Metallic Strands Die-Cut Foil Autumn Leaves Centerpieces Thanksgiving Day Party Supplies Table Decorations,16.99,5.0,1.0,Toys & Games,Party Supplies,Unknown
54,"Fecedy Happy Thanksgiving Hanging Extra Large Fabric Sign Poster Background Banner with Pumpkin Maple Leaves Turkey Pattern for Thanksgiving Day Autumn Harvest Decorations 43.3""x70.8""",6.99,4.5,185.0,Electronics,Camera & Photo,FECEDY
55,Ogrmar 15 Inch 2 Pack Stuffed Turkey Couple Doll Thanksgiving Tabletop Decorations Exquisite Handmade Turkey Plush Doll Kit for Autumn Harvest Home and Room Table Ornaments,17.99,4.6,191.0,Toys & Games,Stuffed Animals & Plush Toys,Unknown
56,CYNOSA Fall Decorations for Home Blessed Grateful Thankful Fall Decor Wooden Pumpkin Tabletop Signs for Home Thanksgiving Farmhouse Living Room Harvest,15.99,4.3,172.0,Home & Kitchen,Home Décor Products,CYNOSA
57,Give Thanks Burlap Banner| ThanksGiving Burlap Banner Thanksgiving Decorations| Rustic Thanksgiving Turkey Pumpkin Bunting| Thanksgiving Party Supplies Fireplace Mantle Decor,9.99,4.7,270.0,Toys & Games,Party Supplies,Partyprops
58,"Gobble Till You Wobble Banner Thanksgiving Party Banner, Friendsgiving Banner Funny Thanksgiving Banner Decorations for Friends Friendsgiving Thanksgiving Party Decorations",11.99,3.8,7.0,Toys & Games,Party Supplies,Unknown
59,"WELLIFE 350 Pieces Gold Plastic Plates with Disposable Silverware and Cups, Include: 50 Dinner Plates 10.25”, 50 Dessert Plates 7.5”, 50 Gold Rim Cups 9 OZ, 50 Gold Cutlery",69.99,4.8,4976.0,Health & Household,Household Supplies,WELLIFE
60,"Vplus 100% Compostable 5 Compartment Paper Plates, 100 Pack, 12.5 * 8.6 inch Disposable School Lunch Trays, Eco-Friendly Bagasse Plates for Buffet, and Party",34.99,4.6,1834.0,Health & Household,Household Supplies,Vplus
61,Thanksgiving Party Decorations Supplies Kit Hanging Paper Lantern Tissue Honeycomb Ball Pom Poms Flowers Pumpkins Maple Leaf Garland for Fall Birthday Baby Showers Home Decor Indoor Outdoor,21.99,4.7,80.0,Home & Kitchen,Event & Party Supplies,zilue
