,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
758,"Northlight 48"" x 10"" Burlap and Buffalo Plaid 16 Loop Christmas Bow Decoration",36.24,29.99,17.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
759,"Northlight 14"" x 34"" Red 11-Loop Velveteen Christmas Bow Decoration",13.49,10.99,19.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
760,"Northlight Pack of 6 Red Glittered 2 Loop Christmas Bow Decorations 5.5""",17.49,14.99,14.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
761,"Northlight 48"" x 10"" Burlap and Gold Scroll 16 Loop Christmas Bow Decoration",43.49,35.99,17.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
762,"Northlight Set of 3 Lighted Tall Red Gift Boxes with Green Bows Christmas Outdoor Decorations 18""",149.99,123.99,17.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
763,"Northlight 12"" x 25"" Red and Gold 10 Loop Velvet Christmas Bow Decoration",21.49,18.99,12.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
764,"Northlight 5.5"" Pink Floral Single Loop Christmas Bow Decoration",10.49,7.99,24.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Northlight
765,"Christmas 6.0"" Holiday Ball Christmas Tree Star  Glittered Gold Crest Distributing  -  Decorative Figurines",47.99,44.98,6.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Gold Crest Distribution
766,"Stony Creek 8.5"" Gnomes W/Red Hat Christmas Tree 3 Gnomes Winter Pines Santa  -  Decorative Figurines",70.99,65.98,7.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Stony Creek
767,Evergreen Beautiful Christmas Camper Spinning Water LED Table Top Decor - 8 x 4 x 8 Inches Indoor/Outdoor Decoration,47.99,47.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Evergreen
768,Christmas Luxury Lite Led Birch Tree Ganz  -  Decorative Figurines,277.99,260.98,6.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,GANZ
769,Transpac Metal 12.99 in. Silver Christmas Light Up Ticking Stripe Bow Present Decor Set of 3,117.99,117.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
770,Transpac Resin 12.8 in. Multicolored Christmas Shiny Classic Santa Decor,45.99,45.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
771,Transpac Resin 22.5 in. Tan Christmas Retro Wheeled Horse Decor,228.99,228.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
772,Transpac Resin Red Christmas Carved Santa Welcome Decor,55.99,55.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
773,Transpac Fabric/Canvas 24 in. Multicolored Christmas Fair Isle Santa Decor,85.99,85.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
774,Transpac Resin 12 in. Multicolored Christmas Coastal St. Nick Decor,36.99,36.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
775,Transpac Polyester 22.05 in. Multicolor Christmas Plush Snowman Head Decor,27.99,27.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
