,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
1828,Set of 3 Pre-Lit LED Twinkle Ornaments,$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,
1829,"Faux Fur Snowman, 10.2""",$69.99,$24.99,64%,5,4,Christmas Inflatables & Outdoor Decor,Porch Decor,Homespun Holiday
1830,"Classic Christmas Gold Bell Door Hanger, 14""",$69.99,$24.99,64%,5,2,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
1831,"Natural Nutcracker Ornament, 5""",$69.99,$24.99,64%,4.5,2,Christmas Inflatables & Outdoor Decor,Porch Decor,Honeybloom
1832,"Deer Flannel Sheet Set, Twin",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,
1833,"Joy, Hope, Peace Yard Stake, 36""",$69.99,$24.99,64%,4.8,4,Christmas Inflatables & Outdoor Decor,Porch Decor,Providence Gold
1834,"Silver Bell Door Hanger, 11""",$69.99,$24.99,64%,5,2,Christmas Inflatables & Outdoor Decor,Porch Decor,Homespun Holiday
1835,"Red & White Striped Tree Skirt, 48""",$69.99,$24.99,64%,4,2,Christmas Inflatables & Outdoor Decor,Porch Decor,Homespun Holiday
1836,"Gold Glittered Poinsettia Clip, 9""",$69.99,$24.99,64%,5,3,Christmas Inflatables & Outdoor Decor,Porch Decor,Providence Pink
1837,"Classic Christmas Nutcracker Shaped Throw Pillow, 9x20",$69.99,$24.99,64%,5,5,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
1838,"White & Silver Drummer Nutcracker, 24""",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,
1839,"Nativity Scene Stable, 12""",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,
1840,"Glittered Hummingbird Clip Ornament, 7.75""",$69.99,$24.99,64%,4.8,6,Christmas Inflatables & Outdoor Decor,Porch Decor,Providence Gold
1841,"1.5"" Green Glittered Ribbon, 8yd",$69.99,$24.99,64%,4.6,31,Christmas Inflatables & Outdoor Decor,Porch Decor,
1842,"Green Glittered Poinsettia Clip Ornament, 9""",$69.99,$24.99,64%,4.9,17,Christmas Inflatables & Outdoor Decor,Porch Decor,
1843,"Mrs. Claus' Bakery Jute Gift Bag Decor, 19""",$69.99,$24.99,64%,4.7,7,Christmas Inflatables & Outdoor Decor,Porch Decor,Mrs.Claus' Bakery Collection
1844,"Sunny Club Outdoor Pink Terracotta Garden Gnome, 14""",$69.99,$24.99,64%,4.9,36,Christmas Inflatables & Outdoor Decor,Porch Decor,
1845,"Red Velvet Monogram Stocking, S",$69.99,$24.99,64%,4.8,54,Christmas Inflatables & Outdoor Decor,Porch Decor,
1846,17 In Lighted Santa Hat,$69.99,$24.99,64%,5,2,Christmas Inflatables & Outdoor Decor,Porch Decor,
1847,"12-Count Gold Glittered Spiral Shatterproof Ornaments, 5""",$69.99,$24.99,64%,4.8,11,Christmas Inflatables & Outdoor Decor,Porch Decor,
1848,"Pink Fuzzy Faux Fur Stocking, 19""",$69.99,$24.99,64%,5,7,Christmas Inflatables & Outdoor Decor,Porch Decor,
1849,"Corgi Canvas Wall Art, 12x16",$69.99,$24.99,64%,5,2,Christmas Inflatables & Outdoor Decor,Porch Decor,
1850,"Cow Canvas Wall Art, 60x36",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,
1851,6-Count Pink Glittered Shatterproof Drop Ornaments,$69.99,$24.99,64%,4.8,22,Christmas Inflatables & Outdoor Decor,Porch Decor,Providence Pink
1852,"Truck with Tree Lotion Pump, 4.5""",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,Homespun Holiday
1853,"Navy Ball Pick Ornament, 10""",$69.99,$24.99,64%,4.9,28,Christmas Inflatables & Outdoor Decor,Porch Decor,
1854,"Red Santa with Skis, 18""",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,
1855,"Merry Christmas Holiday Truck Kitchen Mat, 18x30",$69.99,$24.99,64%,5,2,Christmas Inflatables & Outdoor Decor,Porch Decor,Homespun Holiday
1856,"White Pom-Pom Garland, 70""",$69.99,$24.99,64%,5,2,Christmas Inflatables & Outdoor Decor,Porch Decor,
1857,Power Cord 25 Grn,$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,
1858,"Peace Snowflake Table Top Sign, 5""",$69.99,$24.99,64%,5,3,Christmas Inflatables & Outdoor Decor,Porch Decor,Honeybloom
1859,"Red Poinsettia & Pine Glass Candle Holder Centerpiece, 6""",$69.99,$24.99,64%,5,5,Christmas Inflatables & Outdoor Decor,Porch Decor,
1860,"6-Count Navy Mix Shatterproof Ornaments, 100mm",$69.99,$24.99,64%,5,7,Christmas Inflatables & Outdoor Decor,Porch Decor,
1861,"White Velvet Stocking with Silver Snowflakes, 20""",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,
1862,"Crosby St Black & White Ceramic Penguin Ornament, 4""",$69.99,$24.99,64%,5,2,Christmas Inflatables & Outdoor Decor,Porch Decor,Crosby St Collection
1863,"White Tinsel Swirl Clip Ornament, 7""",$69.99,$24.99,64%,5,7,Christmas Inflatables & Outdoor Decor,Porch Decor,
1864,"Found & Fable Large LED Glass Ball, 5.9""",$69.99,$24.99,64%,5,4,Christmas Inflatables & Outdoor Decor,Porch Decor,Found & Fable Collection
1865,"Red Ho Ho Ho Cozy Knit Throw Blanket, 50x60",$69.99,$24.99,64%,5,4,Christmas Inflatables & Outdoor Decor,Porch Decor,
1866,"Silver Glittered Starburst Tree Topper, 12""",$69.99,$24.99,64%,4.9,15,Christmas Inflatables & Outdoor Decor,Porch Decor,
1867,"2-Pack Snow Much Fun Gnome Towel Set, White",$69.99,$24.99,64%,5,8,Christmas Inflatables & Outdoor Decor,Porch Decor,Homespun Holiday
1868,"North Pole Tabletop Frame, 5x7",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,
1869,"Glass Framed Tiger Wall Art, 14x18",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,Found & Fable
1870,"Pre-Lit Silver North Star Tree Topper, 11.9""",$69.99,$24.99,64%,4.3,14,Christmas Inflatables & Outdoor Decor,Porch Decor,
1871,"Glass Framed Bison Print Wall Art, 26""",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,Ty Pennington
