,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
72,"Northlight Set of 3 LED Lighted White Glittered Cone Tree Christmas Decoration 39.25""",$144.99,$119.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
73,"Northlight 14"" Tan and Green Buffalo Plaid Standing Moose Christmas Decoration",$33.99,$29.99,12%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
74,Mr. Christmas Sing-A-Long Santa Musical Interactive Santa Claus Christmas Decoration,$99.99,$69.99,30%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
75,"Northlight 13.5"" Red and Green Plaid Reindeer Christmas Decoration",$40.59,$33.59,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
76,"Mr. Christmas 43"" Animated Plush Super Climbing Musical Christmas Decoration",$119.99,$69.99,42%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
77,"Northlight Red Brick Corrugated 3-D Fireplace Christmas Decoration 38""",$47.84,$39.59,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
78,"Northlight 12"" Flocked Green 3-D Pine Tree Christmas Decoration",$42.04,$34.79,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
79,"Northlight 4-Piece Frosted Gingerbread Train Christmas Decoration 5.5""",$69.59,$57.59,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
80,"Northlight 12"" Red and White Gnome with Antlers Christmas Decoration",$46.39,$38.39,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
81,"Northlight 18"" Gray and Black Sitting Tabletop Gnome Christmas Decoration",$21.49,$18.99,12%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
82,"Northlight 14"" LED Lighted Golden Glitter Holy Family Nativity Scene Christmas Decoration",$36.24,$29.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
83,"Northlight 8"" Gray and White Gnome with Cable Knit Hat Christmas Decoration",$10.49,$7.99,24%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
84,"Northlight 8.25"" Glittered Gingrebread Tree Christmas Decoration",$43.49,$35.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
85,"Northlight 14"" LED Lighted Animated and Musical Carousel Christmas Decoration",$178.99,$143.99,20%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
86,"Northlight 13.25"" Plush Brown and Gray Pug Dog with Santa Hat Christmas Decoration",$36.24,$29.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
87,"Northlight 12"" Gnome with Gold and White Flip Sequin Hat Christmas Decoration",$24.99,$21.99,12%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
88,"Northlight 14"" LED Lighted Peppermint Gingerbread House Christmas Decoration",$56.54,$46.79,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
